#, Name, Artists, Duration, Year, Genres
1, Luckiest Man, Chris Brown, 2:30, 2022, r&b
2, Plant!, Flowerboy, 2:11, 2021, bedroom pop, indie r&b
3, ALL RED, Playboi Carti, 2:28, 2024, rage rap
4, Runnin Low, Kieran Alleyne, 3:51, 2014, 
5, get u off my mind, LOVELI LORI, 2:23, 2024, 
6, Prologue, Bonobo, 1:05, 2025, trip hop, downtempo, nu jazz, electronic
7, Under the Influence - Sped Up, Hiko, 2:03, 2022, nightcore
8, Believe, Preston Pablo, 2:23, 2023, punjabi pop
9, Red Eye (feat. TroyBoi), Justin Bieber, TroyBoi, 3:07, 2021, 
10, Never Coming Back, Evan Call, 2:24, 2018, anime, soundtrack
11, Kill Me Slowly, Sickick, 3:03, 2019, 
12, Slide, N i G H T S, 2:33, 2022, dark r&b
13, I Don't Do Drugs (feat. Ariana Grande), Doja Cat, Ariana Grande, 3:08, 2021, 
14, Fantastic (from the series Arcane League of Legends), Arcane, King Princess, 3:04, 2024, 
15, Lost, Frank Ocean, 3:54, 2012, 
16, Take It Back, Darci, OZZIE, 3:13, 2019, dark r&b
17, Kono Ek Raate, Tasbir Wolvez, Shibu, 3:19, 2023, bangla pop
18, Ma Meilleure Ennemie - From The Series "Arcane League of Legends", Arcane, League of Legends, Stromae, Pomme, 2:27, 2024,
19, Buttons, N i G H T S, 2:23, 2024, dark r&b
20, Wasted (Nightcore), activist, ඞ, ice, Murkis, 3:14, 2021, 
21, Caution, KAYTRANADA, 2:35, 2021, 
22, cold feet, ansh, 1:58, 2022, indian indie, hindi indie
23, madly, Emily Vaughn, Joseph Tilley, we're ok!, 1:40, 2022, 
24, EVERYTHING, EMBUE, 2:38, 2021, dark r&b, trap soul
25, Eva, Vintage, Eva Polna, 4:10, 2021, 
26, Gourmet Shit!, Seedhe Maut, Raftaar, 3:30, 2024, desi hip hop, hindi hip hop, hardcore hip hop, desi
27, California, Anthony Russo, 3:09, 2017, 
28, Using What You Got, Flying Lotus, 1:05, 2021, idm, experimental hip hop, nu jazz, glitch
