artist_id,artist_name,genres,popularity,followers,track_track_id,track_track_name,track_popularity,track_duration_ms,track_explicit,track_release_date,track_album_name,track_spotify_url,num_genres
7mcE0EmrnPmyAGU3UBJrFg,LOVELI LORI,['pop'],66,147752,2DkKddV2e952EAteyuV0wP,Love For You,81,170233,FALSE,21-05-2022,Love For You,https://open.spotify.com/track/2DkKddV2e952EAteyuV0wP,0
3oSZKapuKjNzTOejmMFXn3,ovg!,['pop'],66,154790,2DkKddV2e952EAteyuV0wP,Love For You,81,170233,FALSE,21-05-2022,Love For You,https://open.spotify.com/track/2DkKddV2e952EAteyuV0wP,1
3TVXtAsR1Inumwj472S9r4,Drake,['rap'],97,98885907,5mCPDVBb16L4XQwDdbRUpz,Passionfruit,87,298940,TRUE,18-03-2017,More Life,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz,1
2oBG74gAocPMFv6Ij9ykdo,Seedhe Maut,"['desi hip hop', 'hindi hip hop', 'hardcore hip hop', 'desi']",70,968840,5wfAOhET7HtNKI1rf4l7GE,Natkhat,53,192000,TRUE,08-09-2021,न,https://open.spotify.com/track/5wfAOhET7HtNKI1rf4l7GE,4
0pghUohLPptZWBasy2wmUx,THEY.,['r&b'],55,370145,2zLLUKyL10JBXPqUS7e7Ne,Count Me In (with Kiana Led�),38,194480,TRUE,24-02-2021,Count Me In (with Kiana Ledé),https://open.spotify.com/track/2zLLUKyL10JBXPqUS7e7Ne,0
7jZMxhsB8djyIbYmoiJSTs,Kiana Led�,['r&b'],60,1720967,2zLLUKyL10JBXPqUS7e7Ne,Count Me In (with Kiana Led�),38,194480,TRUE,24-02-2021,Count Me In (with Kiana Ledé),https://open.spotify.com/track/2zLLUKyL10JBXPqUS7e7Ne,0
6AnOY77z51J14nEUVsFKTy,Taba Chake,"['indian indie', 'hindi indie']",43,145100,2dduCfnlNp4813LVjGmOnv,Morning Sun,31,229240,FALSE,07-01-2018,Bond with Nature,https://open.spotify.com/track/2dduCfnlNp4813LVjGmOnv,2
5uCNbWBRebH8Si8AzJ5gIT,Varju,[],30,2546,33Q63fuOn7soFIBGNnMaXX,Valencia - acoustic,17,142875,FALSE,08-03-2024,Keepsake (acoustic),https://open.spotify.com/track/33Q63fuOn7soFIBGNnMaXX,0
5CiGnKThu5ctn9pBxv7DGa,benny blanco,['pop'],82,1469455,5iQ0Va8Dt5Yky4TXuqO5TF,Eastside (with Halsey & Khalid) - Acoustic,57,173004,FALSE,17-08-2018,Eastside (with Halsey & Khalid) [Acoustic],https://open.spotify.com/track/5iQ0Va8Dt5Yky4TXuqO5TF,0
26VFTg2z8YR0cCuwLzESi2,Halsey,['pop'],83,22151717,5iQ0Va8Dt5Yky4TXuqO5TF,Eastside (with Halsey & Khalid) - Acoustic,57,173004,FALSE,17-08-2018,Eastside (with Halsey & Khalid) [Acoustic],https://open.spotify.com/track/5iQ0Va8Dt5Yky4TXuqO5TF,0
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop'],84,16726674,5iQ0Va8Dt5Yky4TXuqO5TF,Eastside (with Halsey & Khalid) - Acoustic,57,173004,FALSE,17-08-2018,Eastside (with Halsey & Khalid) [Acoustic],https://open.spotify.com/track/5iQ0Va8Dt5Yky4TXuqO5TF,0
3B9O5mYYw89fFXkwKh7jCS,TK from Ling tosite sigure,"['anime', 'j-rock', 'j-pop']",60,499855,7mfK0QZL3lo6Fup1nF0qO7,Signal,33,321266,FALSE,27-09-2016,white noise,https://open.spotify.com/track/7mfK0QZL3lo6Fup1nF0qO7,3
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,[],69,1951529,1hWYT0w2R0J19rlVkiez7X,Battle Scars (with Guy Sebastian),66,250320,FALSE,25-09-2012,"Food & Liquor II: The Great American Rap Album, Pt. 1",https://open.spotify.com/track/1hWYT0w2R0J19rlVkiez7X,0
5PjekOABtfU2Kwo0AHVmci,Guy Sebastian,[],59,552516,1hWYT0w2R0J19rlVkiez7X,Battle Scars (with Guy Sebastian),66,250320,FALSE,25-09-2012,"Food & Liquor II: The Great American Rap Album, Pt. 1",https://open.spotify.com/track/1hWYT0w2R0J19rlVkiez7X,0
2qxJFvFYMEDqd7ui6kSAcq,Zedd,['edm'],77,6088885,60wwxj6Dd9NJlirf84wr2c,Clarity,81,271426,FALSE,01-01-2012,Clarity,https://open.spotify.com/track/60wwxj6Dd9NJlirf84wr2c,1
7qRll6DYV06u2VuRPAVqug,Foxes,['edm'],64,316872,60wwxj6Dd9NJlirf84wr2c,Clarity,81,271426,FALSE,01-01-2012,Clarity,https://open.spotify.com/track/60wwxj6Dd9NJlirf84wr2c,0
