artist_id,artist_name,genres,popularity,followers,track_track_id,track_track_name,track_popularity,track_duration_ms,track_explicit,track_release_date,track_album_name,track_spotify_url
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,[],96,105641915,4UknpXoLjlB7Mao4UWcJ2o,A Lonely Night,64,220173,False,2016-11-24,Starboy,https://open.spotify.com/track/4UknpXoLjlB7Mao4UWcJ2o
4kYGAK2zu9EAomwj3hXkXy,JP Cooper,[],67,932464,3P3pw6C19j31Rnzgo3JG7o,Perfect Strangers,80,196613,False,2018-11-09,Blue,https://open.spotify.com/track/3P3pw6C19j31Rnzgo3JG7o
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,[],75,12139023,0I20rLT2MJDhcF96AjbNYo,Stay,60,210400,False,2017-12-29,Stay +,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo
6DIS6PRrLS3wbnZsf7vYic,WALK THE MOON,[],71,2211356,4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,88,199080,False,2014-12-02,TALKING IS HARD,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
6O9vGMmTwzihULICPCsNf2,Balu Brigada,[],62,111720,2GnyD2EllduW0BjmacUSNL,Designer,68,190933,False,2023-07-28,Find A Way,https://open.spotify.com/track/2GnyD2EllduW0BjmacUSNL
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,[],87,11032072,0AAMnNeIc6CdnfNU85GwCH,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),75,189466,False,2023-06-02,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),https://open.spotify.com/track/0AAMnNeIc6CdnfNU85GwCH
6AMd49uBDJfhf30Ak2QR5s,Coi Leray,[],70,888212,0AAMnNeIc6CdnfNU85GwCH,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),75,189466,False,2023-06-02,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),https://open.spotify.com/track/0AAMnNeIc6CdnfNU85GwCH
5aHlyw2WWqZW0HLICBuv7U,Zach Hood,[],56,324798,1w9L6dvttZalWd8XqFYvSa,Isabelle,56,135000,False,2021-02-05,Isabelle,https://open.spotify.com/track/1w9L6dvttZalWd8XqFYvSa
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,[],77,10727199,6hmhG1b4LEyNuashVvuIAo,Never Forget You,75,213427,False,2017-03-17,So Good,https://open.spotify.com/track/6hmhG1b4LEyNuashVvuIAo
7uMh23xWiuR7zsNkuNcm2G,MNEK,[],68,304031,6hmhG1b4LEyNuashVvuIAo,Never Forget You,75,213427,False,2017-03-17,So Good,https://open.spotify.com/track/6hmhG1b4LEyNuashVvuIAo
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,[],87,11032072,1LAqyTGterNHVFTR2s8aEM,Link Up - Spider-Verse Remix (Spider-Man: Across the Spider-Verse - Instrumental),33,195386,False,2023-08-04,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE [SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE (METROVERSE INSTRUMENTAL EDITION)],https://open.spotify.com/track/1LAqyTGterNHVFTR2s8aEM
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,[],67,2102991,1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),69,223503,False,2017-03-31,No Promises (feat. Demi Lovato),https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,[],78,27169889,1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),69,223503,False,2017-03-31,No Promises (feat. Demi Lovato),https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
4wP1kxjUsc9IR4Iy2smL7o,Trinidad Cardona,[],62,330151,5ZJ9wxMqAhIOekYLmukc2L,Jennifer,72,213539,True,2017-09-11,Jennifer,https://open.spotify.com/track/5ZJ9wxMqAhIOekYLmukc2L
3ZyMt4ZzT5TWAFKvm0UxYb,DREAMDNVR,[],43,20236,1UyDQh3HBJwL6IxR9mXipZ,AMNESIA (feat. Boy In Space),46,175826,False,2020-08-07,AMNESIA (feat. Boy In Space),https://open.spotify.com/track/1UyDQh3HBJwL6IxR9mXipZ
0xu4jAQQv7ZAqvFGdc9HgP,Boy In Space,[],52,221528,1UyDQh3HBJwL6IxR9mXipZ,AMNESIA (feat. Boy In Space),46,175826,False,2020-08-07,AMNESIA (feat. Boy In Space),https://open.spotify.com/track/1UyDQh3HBJwL6IxR9mXipZ
7mcE0EmrnPmyAGU3UBJrFg,LOVELI LORI,[],66,147752,2DkKddV2e952EAteyuV0wP,Love For You,81,170233,False,2022-05-21,Love For You,https://open.spotify.com/track/2DkKddV2e952EAteyuV0wP
0pghUohLPptZWBasy2wmUx,THEY.,[],55,370145,2zLLUKyL10JBXPqUS7e7Ne,Count Me In (with Kiana Ledé),38,194480,True,2021-02-24,Count Me In (with Kiana Ledé),https://open.spotify.com/track/2zLLUKyL10JBXPqUS7e7Ne
7jZMxhsB8djyIbYmoiJSTs,Kiana Ledé,[],60,1720967,2zLLUKyL10JBXPqUS7e7Ne,Count Me In (with Kiana Ledé),38,194480,True,2021-02-24,Count Me In (with Kiana Ledé),https://open.spotify.com/track/2zLLUKyL10JBXPqUS7e7Ne
5uCNbWBRebH8Si8AzJ5gIT,Varju,[],30,2546,33Q63fuOn7soFIBGNnMaXX,Valencia - acoustic,17,142875,False,2024-03-08,Keepsake (acoustic),https://open.spotify.com/track/33Q63fuOn7soFIBGNnMaXX
5CiGnKThu5ctn9pBxv7DGa,benny blanco,[],82,1469455,5iQ0Va8Dt5Yky4TXuqO5TF,Eastside (with Halsey & Khalid) - Acoustic,57,173004,False,2018-08-17,Eastside (with Halsey & Khalid) [Acoustic],https://open.spotify.com/track/5iQ0Va8Dt5Yky4TXuqO5TF
26VFTg2z8YR0cCuwLzESi2,Halsey,[],83,22151717,5iQ0Va8Dt5Yky4TXuqO5TF,Eastside (with Halsey & Khalid) - Acoustic,57,173004,False,2018-08-17,Eastside (with Halsey & Khalid) [Acoustic],https://open.spotify.com/track/5iQ0Va8Dt5Yky4TXuqO5TF
6LuN9FCkKOj5PcnpouEgny,Khalid,[],84,16726674,5iQ0Va8Dt5Yky4TXuqO5TF,Eastside (with Halsey & Khalid) - Acoustic,57,173004,False,2018-08-17,Eastside (with Halsey & Khalid) [Acoustic],https://open.spotify.com/track/5iQ0Va8Dt5Yky4TXuqO5TF
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,[],69,1951529,1hWYT0w2R0J19rlVkiez7X,Battle Scars (with Guy Sebastian),66,250320,False,2012-09-25,"Food & Liquor II: The Great American Rap Album, Pt. 1",https://open.spotify.com/track/1hWYT0w2R0J19rlVkiez7X
5PjekOABtfU2Kwo0AHVmci,Guy Sebastian,[],59,552516,1hWYT0w2R0J19rlVkiez7X,Battle Scars (with Guy Sebastian),66,250320,False,2012-09-25,"Food & Liquor II: The Great American Rap Album, Pt. 1",https://open.spotify.com/track/1hWYT0w2R0J19rlVkiez7X
7qRll6DYV06u2VuRPAVqug,Foxes,[],64,316872,60wwxj6Dd9NJlirf84wr2c,Clarity,81,271426,False,2012-01-01,Clarity,https://open.spotify.com/track/60wwxj6Dd9NJlirf84wr2c
4lfzmHxJUmbTMeg2OlnBNN,SVNAH,[],22,1396,4IRlI7QAFPwhI69NuPWw7E,Love is a Miracle,40,193714,False,2019-02-06,Love is a Miracle,https://open.spotify.com/track/4IRlI7QAFPwhI69NuPWw7E
5BxcZnUcETSt90VlbsdugI,Zachary Knowles,[],43,73079,3YPPKH6lfa7LTKK4oIzGq3,johnny & june,24,164418,False,2021-08-06,tendency to be a loner,https://open.spotify.com/track/3YPPKH6lfa7LTKK4oIzGq3
7cYEt1pqMgXJdq00hAwVpT,Chase Atlantic,[],83,9749327,1BwApC6z1fX4IWFPPjCHww,OHMAMI - With Maggie Lindemann,57,226843,True,2022-05-03,BEAUTY IN DEATH (DELUXE EDITION),https://open.spotify.com/track/1BwApC6z1fX4IWFPPjCHww
0uGk2czvcpWQA383Im6ajf,Maggie Lindemann,[],61,2038945,1BwApC6z1fX4IWFPPjCHww,OHMAMI - With Maggie Lindemann,57,226843,True,2022-05-03,BEAUTY IN DEATH (DELUXE EDITION),https://open.spotify.com/track/1BwApC6z1fX4IWFPPjCHww
7gvbCoLA8lJUktp8G2xIRR,Peachy!,[],51,236388,2xhGZ3WzOa3tir28y7Cb88,Falling for U,69,124000,False,2017-08-14,Falling for U,https://open.spotify.com/track/2xhGZ3WzOa3tir28y7Cb88
0pghUohLPptZWBasy2wmUx,THEY.,[],55,370145,0C145sjXoB4gpvJPF4Geqn,Choosin',49,176480,True,2025-02-14,LOVE.JONES,https://open.spotify.com/track/0C145sjXoB4gpvJPF4Geqn
